Rname,RSet,mips,Mips定义,定义文件,Format文件,InstrItinClass文件,ISA文件
fadd.d,d,add.d,defm FADD:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fclass.d,d,class.d,def CLASS_D:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.d.l,d,cvt.d.l,def CVT_D64_L:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.d.lu,d,cvt.d.l,def CVT_D65_L:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.d.s,d,cvt.d.s,def CVT_D32_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.d.w,d,cvt.d.w,def CVT_D32_W:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.d.wu,d,cvt.d.w,def CVT_D33_W:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.l.d,d,cvt.l.d,def CVT_L_D64:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.lu.d,d,cvt.l.d,def CVT_L_D64:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.w.d,d,cvt.w.d,defm CVT_W:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.wu.d,d,cvt.w.d,defm CVT_W:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fdiv.d,d,div.d,defm FDIV:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
feq.d,d,c.eq.d,multiclass?C_COND_M;def C_EQ_#NAME;defm D32,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fld,d,ldc1,def LDC1:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fle.d,d,c.le.d,multiclass?C_COND_M;def C_LE_#NAME;defm D32,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
flt.d,d,c.lt.d,multiclass?C_COND_M;def C_LT_#NAME;defm D32,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmadd.d,d,madd.d,def MADD_D32:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmax.d,d,max.d,def MAX_D:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmin.d,d,min.d,def MIN_D:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmsub.d,d,msub.d,def MSUB_D32:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmul.d,d,mul.d,defm FMUL:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmv.d.x,d,mov.d,defm FMOV:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmv.x.d,d,mov.d,defm FMOV:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
