rname_upper,rname,Size,AsmString,isBarrier,Arch,Format,Set,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,TwoOperandAliasConstraint,canFoldAsLoad,isCompare,Namespace,mayLoad,Sched,hasPostISelHook,AddedComplexity,isReMaterializable,InOperandList,OutOperandList,Itinerary,hasSideEffects,isIndirectBranch,isCodeGenOnly,DisableEncoding,mayStore,isCall,isTerminator,isBranch,isAsCheapAsAMove,isReturn,Constraints,isCommutable,hasDelaySlot,Defs,Uses,DecoderMethod,DecoderNamespace,Pattern,isMoveReg,AdditionalPredicates,GPRPredicates,InsnPredicates,EncodingPredicates,ASEPredicate,FGRPredicates,HardFloatPredicate,PTRPredicates,Predicates,SoftFail,hasNoSchedulingInfo,AsmMatchConverter,usesCustomInserter
BEQ,beq,4,"""beq	$rs1, $rs2, $imm12""",None,?,B,std,{is_split=True;name=imm12;value=NULL;{frag_id=1#frag_range=11-11#bit_range=31-31};{frag_id=2#frag_range=9-4#bit_range=30-25};{frag_id=3#frag_range=3-0#bit_range=11-8};{frag_id=4#frag_range=10-10#bit_range=7-7};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=1;NoZero=False;class_name_riscv=simm13_lsb0;len=12},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=False;len=3},{is_split=False;name=opcode;value=1100011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,"[WriteJmp, ReadJmp, ReadJmp]",None,None,None,"(ins GPR:$rs1, GPR:$rs2, simm13_lsb0:$imm12)",(outs),None,0,None,None,None,0,None,1,1,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[],None,None,None,None
BGE,bge,4,"""bge	$rs1, $rs2, $imm12""",None,?,B,std,{is_split=True;name=imm12;value=NULL;{frag_id=1#frag_range=11-11#bit_range=31-31};{frag_id=2#frag_range=9-4#bit_range=30-25};{frag_id=3#frag_range=3-0#bit_range=11-8};{frag_id=4#frag_range=10-10#bit_range=7-7};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=1;NoZero=False;class_name_riscv=simm13_lsb0;len=12},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=101;bit_range=14-12;is_op=False;len=3},{is_split=False;name=opcode;value=1100011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,"[WriteJmp, ReadJmp, ReadJmp]",None,None,None,"(ins GPR:$rs1, GPR:$rs2, simm13_lsb0:$imm12)",(outs),None,0,None,None,None,0,None,1,1,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[],None,None,None,None
BGEU,bgeu,4,"""bgeu	$rs1, $rs2, $imm12""",None,?,B,std,{is_split=True;name=imm12;value=NULL;{frag_id=1#frag_range=11-11#bit_range=31-31};{frag_id=2#frag_range=9-4#bit_range=30-25};{frag_id=3#frag_range=3-0#bit_range=11-8};{frag_id=4#frag_range=10-10#bit_range=7-7};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=1;NoZero=False;class_name_riscv=simm13_lsb0;len=12},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=111;bit_range=14-12;is_op=False;len=3},{is_split=False;name=opcode;value=1100011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,"[WriteJmp, ReadJmp, ReadJmp]",None,None,None,"(ins GPR:$rs1, GPR:$rs2, simm13_lsb0:$imm12)",(outs),None,0,None,None,None,0,None,1,1,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[],None,None,None,None
BLT,blt,4,"""blt	$rs1, $rs2, $imm12""",None,?,B,std,{is_split=True;name=imm12;value=NULL;{frag_id=1#frag_range=11-11#bit_range=31-31};{frag_id=2#frag_range=9-4#bit_range=30-25};{frag_id=3#frag_range=3-0#bit_range=11-8};{frag_id=4#frag_range=10-10#bit_range=7-7};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=1;NoZero=False;class_name_riscv=simm13_lsb0;len=12},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=100;bit_range=14-12;is_op=False;len=3},{is_split=False;name=opcode;value=1100011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,"[WriteJmp, ReadJmp, ReadJmp]",None,None,None,"(ins GPR:$rs1, GPR:$rs2, simm13_lsb0:$imm12)",(outs),None,0,None,None,None,0,None,1,1,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[],None,None,None,None
BLTU,bltu,4,"""bltu	$rs1, $rs2, $imm12""",None,?,B,std,{is_split=True;name=imm12;value=NULL;{frag_id=1#frag_range=11-11#bit_range=31-31};{frag_id=2#frag_range=9-4#bit_range=30-25};{frag_id=3#frag_range=3-0#bit_range=11-8};{frag_id=4#frag_range=10-10#bit_range=7-7};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=1;NoZero=False;class_name_riscv=simm13_lsb0;len=12},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=110;bit_range=14-12;is_op=False;len=3},{is_split=False;name=opcode;value=1100011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,"[WriteJmp, ReadJmp, ReadJmp]",None,None,None,"(ins GPR:$rs1, GPR:$rs2, simm13_lsb0:$imm12)",(outs),None,0,None,None,None,0,None,1,1,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[],None,None,None,None
BNE,bne,4,"""bne	$rs1, $rs2, $imm12""",None,?,B,std,{is_split=True;name=imm12;value=NULL;{frag_id=1#frag_range=11-11#bit_range=31-31};{frag_id=2#frag_range=9-4#bit_range=30-25};{frag_id=3#frag_range=3-0#bit_range=11-8};{frag_id=4#frag_range=10-10#bit_range=7-7};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=1;NoZero=False;class_name_riscv=simm13_lsb0;len=12},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=opcode;value=1100011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,"[WriteJmp, ReadJmp, ReadJmp]",None,None,None,"(ins GPR:$rs1, GPR:$rs2, simm13_lsb0:$imm12)",(outs),None,0,None,None,None,0,None,1,1,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[],None,None,None,None
ADDI,addi,4,"""addi	$rd, $rs1, $imm12""",None,?,I,std,{is_split=False;name=imm12;value=NULL;bit_range=31-20;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=simm12;len=12},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,"[WriteIALU, ReadIALU]",None,None,1,"(ins GPR:$rs1, simm12:$imm12)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,1,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[],None,None,None,None
ADDIW,addiw,4,"""addiw	$rd, $rs1, $imm12""",None,?,I,std,{is_split=False;name=imm12;value=NULL;bit_range=31-20;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=simm12;len=12},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0011011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,"[WriteIALU32, ReadIALU32]",None,None,None,"(ins GPR:$rs1, simm12:$imm12)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[IsRV64],None,None,None,None
ANDI,andi,4,"""andi	$rd, $rs1, $imm12""",None,?,I,std,{is_split=False;name=imm12;value=NULL;bit_range=31-20;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=simm12;len=12},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=111;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,"[WriteIALU, ReadIALU]",None,None,None,"(ins GPR:$rs1, simm12:$imm12)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[],None,None,None,None
EBREAK,ebreak,4,"""ebreak	""",None,?,I,std,{is_split=False;name=imm12;value=000000000001;bit_range=31-20;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;len=12},{is_split=False;name=rs1;value=00000;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=00000;bit_range=11-7;is_op=False;len=5},{is_split=False;name=opcode;value=1110011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,(ins),(outs),None,1,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[],None,None,None,None
