rname_upper,rname,Size,AsmString,isBarrier,Arch,Format,Set,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,TwoOperandAliasConstraint,canFoldAsLoad,isCompare,Namespace,mayLoad,Sched,hasPostISelHook,AddedComplexity,isReMaterializable,InOperandList,OutOperandList,Itinerary,hasSideEffects,isIndirectBranch,isCodeGenOnly,DisableEncoding,mayStore,isCall,isTerminator,isBranch,isAsCheapAsAMove,isReturn,Constraints,isCommutable,hasDelaySlot,Defs,Uses,DecoderMethod,DecoderNamespace,Pattern,isMoveReg,AdditionalPredicates,GPRPredicates,InsnPredicates,EncodingPredicates,ASEPredicate,FGRPredicates,HardFloatPredicate,PTRPredicates,Predicates,SoftFail,hasNoSchedulingInfo,AsmMatchConverter,usesCustomInserter
C_BEQZ,c.beqz,2,"""c.beqz	$rs1, $imm""",None,?,CB,c,{is_split=False;name=funct3;value=110;bit_range=15-13;is_op=False;len=3},{is_split=True;name=imm;value=NULL;{frag_id=1#frag_range=7-7#bit_range=12-12};{frag_id=2#frag_range=3-2#bit_range=11-10};{frag_id=3#frag_range=6-5#bit_range=6-5};{frag_id=4#frag_range=1-0#bit_range=4-3};{frag_id=4#frag_range=4-4#bit_range=2-2};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=1;NoZero=False;class_name_riscv=simm9_lsb0;len=9},"{is_split=False;name=rs1;value=NULL;bit_range=9-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL={X0,X1,X2,X3,X4,X5,X6,X7,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31};class_name_riscv=GPRC;class_name_mips=gprmm16;len=3}",{is_split=False;name=opcode;value=01;bit_range=1-0;is_op=False;len=2},None,None,None,None,None,None,None,None,"""RISCV""",0,[WriteJmp],None,None,None,"(ins GPRC:$rs1, simm9_lsb0:$imm)",(outs),None,0,None,None,None,0,None,1,1,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtC],None,None,None,None
C_BNEZ,c.bnez,2,"""c.bnez	$rs1, $imm""",None,?,CB,c,{is_split=False;name=funct3;value=111;bit_range=15-13;is_op=False;len=3},{is_split=True;name=imm;value=NULL;{frag_id=1#frag_range=7-7#bit_range=12-12};{frag_id=2#frag_range=3-2#bit_range=11-10};{frag_id=3#frag_range=6-5#bit_range=6-5};{frag_id=4#frag_range=1-0#bit_range=4-3};{frag_id=4#frag_range=4-4#bit_range=2-2};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=1;NoZero=False;class_name_riscv=simm9_lsb0;len=9},"{is_split=False;name=rs1;value=NULL;bit_range=9-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL={X0,X1,X2,X3,X4,X5,X6,X7,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31};class_name_riscv=GPRC;class_name_mips=gprmm16;len=3}",{is_split=False;name=opcode;value=01;bit_range=1-0;is_op=False;len=2},None,None,None,None,None,None,None,None,"""RISCV""",0,[WriteJmp],None,None,None,"(ins GPRC:$rs1, simm9_lsb0:$imm)",(outs),None,0,None,None,None,0,None,1,1,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtC],None,None,None,None
C_ADDI,c.addi,2,"""c.addi	$rd, $imm""",None,?,CI,c,{is_split=False;name=funct3;value=000;bit_range=15-13;is_op=False;len=3},{is_split=True;name=imm;value=NULL;{frag_id=1#frag_range=5-5#bit_range=12-12};{frag_id=2#frag_range=4-0#bit_range=6-2};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=True;class_name_riscv=simm6nonzero;len=10},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL={X0};class_name_riscv=GPRNoX0;class_name_mips=gpr32nonzero;len=5},{is_split=False;name=opcode;value=01;bit_range=1-0;is_op=False;len=2},None,None,None,None,None,None,None,None,"""RISCV""",0,"[WriteIALU, ReadIALU]",None,None,None,"(ins GPRNoX0:$rd, simm6nonzero:$imm)",(outs GPRNoX0:$rd_wb),None,0,None,None,None,0,None,None,None,None,None,"""$rd = $rd_wb""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtC],None,None,None,None
C_ADDI16SP,c.addi16sp,2,"""c.addi16sp	$rd, $imm""",None,?,CI,c,{is_split=False;name=funct3;value=011;bit_range=15-13;is_op=False;len=3},{is_split=True;name=imm;value=NULL;{frag_id=1#frag_range=9-9#bit_range=12-12};{frag_id=2#frag_range=4-4#bit_range=6-6};{frag_id=3#frag_range=6-6#bit_range=5-5};{frag_id=4#frag_range=8-7#bit_range=4-3};{frag_id=5#frag_range=5-5#bit_range=2-2};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=4;NoZero=True;class_name_riscv=simm10_lsb0000nonzero;len=10},{is_split=False;name=rd;value=00010;bit_range=11-7;is_op=False;len=5},{is_split=False;name=opcode;value=01;bit_range=1-0;is_op=False;len=2},None,None,None,None,None,None,None,None,"""RISCV""",0,"[WriteIALU, ReadIALU]",None,None,None,"(ins SP:$rd, simm10_lsb0000nonzero:$imm)",(outs SP:$rd_wb),None,0,None,None,None,0,None,None,None,None,None,"""$rd = $rd_wb""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtC],None,None,None,None
C_ADDIW,c.addiw,2,"""c.addiw	$rd, $imm""",None,?,CI,c,{is_split=False;name=funct3;value=001;bit_range=15-13;is_op=False;len=3},{is_split=True;name=imm;value=NULL;{frag_id=1#frag_range=5-5#bit_range=12-12};{frag_id=2#frag_range=4-0#bit_range=6-2};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=simm6;len=10},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL={X0};class_name_riscv=gprnox0;class_name_mips=gpr32nonzero;len=5},{is_split=False;name=opcode;value=01;bit_range=1-0;is_op=False;len=2},None,None,None,None,None,None,None,None,"""RISCV""",0,"[WriteIALU32, ReadIALU32]",None,None,None,"(ins GPRNoX0:$rd, simm6:$imm)",(outs GPRNoX0:$rd_wb),None,0,None,None,None,0,None,None,None,None,None,"""$rd = $rd_wb""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,"[HasStdExtC, IsRV64]",None,None,None,None
C_ANDI,c.andi,2,"""c.andi	$rs1, $imm""",None,?,CI,c,{is_split=False;name=funct3;value=100;bit_range=15-13;is_op=False;len=3},{is_split=True;name=imm;value=NULL;{frag_id=1#frag_range=5-5#bit_range=12-12};{frag_id=2#frag_range=4-0#bit_range=6-2};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=True;class_name_riscv=simm6nonzero;len=9},{is_split=False;name=funct2;value=10;bit_range=11-10;is_op=False;len=2},"{is_split=False;name=rs1;value=NULL;bit_range=9-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL={X0,X1,X2,X3,X4,X5,X6,X7,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31};class_name_riscv=gprc;class_name_mips=gprmm16;len=3}",{is_split=False;name=opcode;value=01;bit_range=1-0;is_op=False;len=2},None,None,None,None,None,None,None,"""RISCV""",0,"[WriteIALU, ReadIALU]",None,None,None,"(ins GPRC:$rs1, simm6:$imm)",(outs GPRC:$rs1_wb),None,0,None,None,None,0,None,None,None,None,None,"""$rs1 = $rs1_wb""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtC],None,None,None,None
C_FLDSP,c.fldsp,2,"""c.fldsp	$rd, ${imm}(${rs1})""",None,?,CI,c,{is_split=False;name=funct3;value=001;bit_range=15-13;is_op=False;len=3},{is_split=True;name=imm;value=NULL;{frag_id=1#frag_range=5-5#bit_range=12-12};{frag_id=2#frag_range=4-3#bit_range=6-5};{frag_id=3#frag_range=8-6#bit_range=4-2};is_op=True;op_type=Imm;is_signed=False;is_special=False;LSB=3;NoZero=False;class_name_riscv=uimm9_lsb000;len=10},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=opcode;value=10;bit_range=1-0;is_op=False;len=2},None,None,None,None,None,None,None,None,"""RISCV""",1,"[WriteFLD64, ReadMemBase]",None,None,None,"(ins SP:$rs1, uimm9_lsb000:$imm)",(outs FPR64:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,"[HasStdExtC, HasStdExtD]",None,None,None,None
C_FLWSP,c.flwsp,2,"""c.flwsp	$rd, ${imm}(${rs1})""",None,?,CI,c,{is_split=False;name=funct3;value=011;bit_range=15-13;is_op=False;len=3},{is_split=True;name=imm;value=NULL;{frag_id=1#frag_range=5-5#bit_range=12-12};{frag_id=2#frag_range=4-2#bit_range=6-4};{frag_id=3#frag_range=7-6#bit_range=3-2};is_op=True;op_type=Imm;is_signed=False;is_special=False;LSB=2;NoZero=False;class_name_riscv=uimm8_lsb00;len=10},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=opcode;value=10;bit_range=1-0;is_op=False;len=2},None,None,None,None,None,None,None,None,"""RISCV""",1,"[WriteFLD32, ReadMemBase]",None,None,None,"(ins SP:$rs1, uimm8_lsb00:$imm)",(outs FPR32:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""RISCV32Only_""",None,None,None,None,None,None,None,None,None,None,"[HasStdExtC, HasStdExtF, IsRV32]",None,None,None,None
C_LDSP,c.ldsp,2,"""c.ldsp	$rd, ${imm}(${rs1})""",None,?,CI,c,{is_split=False;name=funct3;value=011;bit_range=15-13;is_op=False;len=3},{is_split=True;name=imm;value=NULL;{frag_id=1#frag_range=5-5#bit_range=12-12};{frag_id=2#frag_range=4-3#bit_range=6-5};{frag_id=3#frag_range=8-6#bit_range=4-2};is_op=True;op_type=Imm;is_signed=False;is_special=False;LSB=3;NoZero=False;class_name_riscv=uimm9_lsb000;len=10},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL={X0};class_name_riscv=gprnox0;class_name_mips=gpr32nonzero;len=5},{is_split=False;name=opcode;value=10;bit_range=1-0;is_op=False;len=2},None,None,None,None,None,None,None,None,"""RISCV""",1,"[WriteLDD, ReadMemBase]",None,None,None,"(ins SP:$rs1, uimm9_lsb000:$imm)",(outs GPRNoX0:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,"[HasStdExtC, IsRV64]",None,None,None,None
C_LI,c.li,2,"""c.li	$rd, $imm""",None,?,CI,c,{is_split=False;name=funct3;value=010;bit_range=15-13;is_op=False;len=3},{is_split=True;name=imm;value=NULL;{frag_id=1#frag_range=5-5#bit_range=12-12};{frag_id=2#frag_range=4-0#bit_range=6-2};is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=simm6;len=10},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL={X0};class_name_riscv=gprnox0;class_name_mips=gpr32nonzero;len=5},{is_split=False;name=opcode;value=01;bit_range=1-0;is_op=False;len=2},None,None,None,None,None,None,None,None,"""RISCV""",0,[WriteIALU],None,None,None,(ins simm6:$imm),(outs GPRNoX0:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtC],None,None,None,None
