rname_upper,rname,Size,AsmString,isBarrier,Arch,Format,Set,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,TwoOperandAliasConstraint,canFoldAsLoad,isCompare,Namespace,mayLoad,Sched,hasPostISelHook,AddedComplexity,isReMaterializable,InOperandList,OutOperandList,Itinerary,hasSideEffects,isIndirectBranch,isCodeGenOnly,DisableEncoding,mayStore,isCall,isTerminator,isBranch,isAsCheapAsAMove,isReturn,Constraints,isCommutable,hasDelaySlot,Defs,Uses,DecoderMethod,DecoderNamespace,Pattern,isMoveReg,AdditionalPredicates,GPRPredicates,InsnPredicates,EncodingPredicates,ASEPredicate,FGRPredicates,HardFloatPredicate,PTRPredicates,Predicates,SoftFail,hasNoSchedulingInfo,AsmMatchConverter,usesCustomInserter
FLD,fld,4,"""fld	$rd, ${imm12}(${rs1})""",None,?,I,d,{is_split=False;name=imm12;value=NULL;bit_range=31-20;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=simm12;len=12},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=011;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=opcode;value=0000111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",1,"[WriteFLD64, ReadFMemBase]",None,None,None,"(ins GPR:$rs1, simm12:$imm12)",(outs FPR64:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtD],None,None,None,None
FADD_D,fadd.d,4,"""fadd.d	$rd, $rs1, $rs2, $funct3""",None,?,R,d,{is_split=False;name=funct7;value=0000001;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFALU64, ReadFALU64, ReadFALU64]",None,None,None,"(ins FPR64:$rs1, FPR64:$rs2, frmarg:$funct3)",(outs FPR64:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtD],None,None,None,None
FCLASS_D,fclass.d,4,"""fclass.d	$rd, $rs1""",None,?,R,d,{is_split=False;name=funct7;value=1110001;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFClass64, ReadFClass64]",None,None,None,(ins FPR64:$rs1),(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtD],None,None,None,None
FCVT_D_L,fcvt.d.l,4,"""fcvt.d.l	$rd, $rs1, $funct3""",None,?,R,d,{is_split=False;name=funct7;value=1101001;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00010;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtI64ToF64, ReadFCvtI64ToF64]",None,None,None,"(ins GPR:$rs1, frmarg:$funct3)",(outs FPR64:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,"[HasStdExtD, IsRV64]",None,None,None,None
FCVT_D_LU,fcvt.d.lu,4,"""fcvt.d.lu	$rd, $rs1, $funct3""",None,?,R,d,{is_split=False;name=funct7;value=1101001;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00011;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtI64ToF64, ReadFCvtI64ToF64]",None,None,None,"(ins GPR:$rs1, frmarg:$funct3)",(outs FPR64:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,"[HasStdExtD, IsRV64]",None,None,None,None
FCVT_D_S,fcvt.d.s,4,"""fcvt.d.s	$rd, $rs1""",None,?,R,d,{is_split=False;name=funct7;value=0100001;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtF32ToF64, ReadFCvtF32ToF64]",None,None,None,(ins FPR32:$rs1),(outs FPR64:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtD],None,None,None,None
FCVT_D_W,fcvt.d.w,4,"""fcvt.d.w	$rd, $rs1""",None,?,R,d,{is_split=False;name=funct7;value=1101001;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtI32ToF64, ReadFCvtI32ToF64]",None,None,None,(ins GPR:$rs1),(outs FPR64:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtD],None,None,None,None
FCVT_D_WU,fcvt.d.wu,4,"""fcvt.d.wu	$rd, $rs1""",None,?,R,d,{is_split=False;name=funct7;value=1101001;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00001;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtI32ToF64, ReadFCvtI32ToF64]",None,None,None,(ins GPR:$rs1),(outs FPR64:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtD],None,None,None,None
FCVT_L_D,fcvt.l.d,4,"""fcvt.l.d	$rd, $rs1, $funct3""",None,?,R,d,{is_split=False;name=funct7;value=1100001;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00010;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtF64ToI64, ReadFCvtF64ToI64]",None,None,None,"(ins FPR64:$rs1, frmarg:$funct3)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,"[HasStdExtD, IsRV64]",None,None,None,None
FCVT_LU_D,fcvt.lu.d,4,"""fcvt.lu.d	$rd, $rs1, $funct3""",None,?,R,d,{is_split=False;name=funct7;value=1100001;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00011;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=DOUBLE;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtF64ToI64, ReadFCvtF64ToI64]",None,None,None,"(ins FPR64:$rs1, frmarg:$funct3)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,"[HasStdExtD, IsRV64]",None,None,None,None
