rname_upper,rname,Size,AsmString,isBarrier,Arch,Format,Set,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,TwoOperandAliasConstraint,canFoldAsLoad,isCompare,Namespace,mayLoad,Sched,hasPostISelHook,AddedComplexity,isReMaterializable,InOperandList,OutOperandList,Itinerary,hasSideEffects,isIndirectBranch,isCodeGenOnly,DisableEncoding,mayStore,isCall,isTerminator,isBranch,isAsCheapAsAMove,isReturn,Constraints,isCommutable,hasDelaySlot,Defs,Uses,DecoderMethod,DecoderNamespace,Pattern,isMoveReg,AdditionalPredicates,GPRPredicates,InsnPredicates,EncodingPredicates,ASEPredicate,FGRPredicates,HardFloatPredicate,PTRPredicates,Predicates,SoftFail,hasNoSchedulingInfo,AsmMatchConverter,usesCustomInserter,RVVConstraint
VWADDU_VV,vwaddu.vv,4,"""vwaddu.vv	$vd, $vs2, $vs1$vm""",None,?,R,v,{is_split=False;name=funct6;value=110000;bit_range=31-26;is_op=False;len=6},{is_split=False;name=vm;value=NULL;bit_range=25-25;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VMaskOp;class_name_mips=NULL;len=1},{is_split=False;name=vs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=vs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opv;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=vd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opcode;value=1010111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,None,None,None,None,"(ins VR:$vs2, VR:$vs1, VMaskOp:$vm)",(outs VR:$vd),None,0,None,None,None,0,None,None,None,None,None,"""@earlyclobber $vd""",None,None,[],"[VTYPE, VL]",None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtV],None,None,None,None,WidenV
VMADC_VI,vmadc.vi,4,"""vmadc.vi	$vd, $vs2, $imm""",None,?,R,v,{is_split=False;name=funct6;value=010001;bit_range=31-26;is_op=False;len=6},{is_split=False;name=vm;value=1;bit_range=25-25;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VMaskOp;class_name_mips=NULL;len=1},{is_split=False;name=vs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=imm;value=NULL;bit_range=19-15;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=simm5;len=5},{is_split=False;name=NULL;value=011;bit_range=14-12;is_op=False;len=3},{is_split=False;name=vd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opcode;value=1010111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,None,None,None,None,"(ins VR:$vs2, simm5:$imm)",(outs VR:$vd),None,0,None,None,None,0,None,None,None,None,None,"""@earlyclobber $vd""",None,None,[],"[VTYPE, VL]",None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtV],None,None,None,None,NoConstraint
VWADDU_VX,vwaddu.vx,4,"""vwaddu.vx	$vd, $vs2, $rs1$vm""",None,?,R,v,{is_split=False;name=funct6;value=110000;bit_range=31-26;is_op=False;len=6},{is_split=False;name=vm;value=NULL;bit_range=25-25;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VMaskOp;class_name_mips=NULL;len=1},{is_split=False;name=vs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=opv;value=110;bit_range=14-12;is_op=False;len=3},{is_split=False;name=vd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opcode;value=1010111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,None,None,None,None,"(ins VR:$vs2, GPR:$rs1, VMaskOp:$vm)",(outs VR:$vd),None,0,None,None,None,0,None,None,None,None,None,"""@earlyclobber $vd""",None,None,[],"[VTYPE, VL]",None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtV],None,None,None,None,WidenV
VWADDU_WX,vwaddu.wx,4,"""vwaddu.wx	$vd, $vs2, $rs1$vm""",None,?,R,v,{is_split=False;name=funct6;value=110100;bit_range=31-26;is_op=False;len=6},{is_split=False;name=vm;value=NULL;bit_range=25-25;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VMaskOp;class_name_mips=NULL;len=1},{is_split=False;name=vs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=opv;value=110;bit_range=14-12;is_op=False;len=3},{is_split=False;name=vd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opcode;value=1010111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,None,None,None,None,"(ins VR:$vs2, GPR:$rs1, VMaskOp:$vm)",(outs VR:$vd),None,0,None,None,None,0,None,None,None,None,None,"""@earlyclobber $vd""",None,None,[],"[VTYPE, VL]",None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtV],None,None,None,None,WidenW
VWADDU_WV,vwaddu.wv,4,"""vwaddu.wv	$vd, $vs2, $vs1$vm""",None,?,R,v,{is_split=False;name=funct6;value=110100;bit_range=31-26;is_op=False;len=6},{is_split=False;name=vm;value=NULL;bit_range=25-25;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VMaskOp;class_name_mips=NULL;len=1},{is_split=False;name=vs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=vs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opv;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=vd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opcode;value=1010111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,None,None,None,None,"(ins VR:$vs2, VR:$vs1, VMaskOp:$vm)",(outs VR:$vd),None,0,None,None,None,0,None,None,None,None,None,"""@earlyclobber $vd""",None,None,[],"[VTYPE, VL]",None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtV],None,None,None,None,WidenW
VSADD_VV,vsadd.vv,4,"""vsadd.vv	$vd, $vs2, $vs1$vm""",None,?,R,v,{is_split=False;name=funct6;value=100001;bit_range=31-26;is_op=False;len=6},{is_split=False;name=vm;value=NULL;bit_range=25-25;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VMaskOp;class_name_mips=NULL;len=1},{is_split=False;name=vs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=vs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opv;value=000;bit_range=14-12;is_op=False;len=3},{is_split=False;name=vd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opcode;value= 1010111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,None,None,None,None,"(ins VR:$vs2, VR:$vs1, VMaskOp:$vm)",(outs VR:$vd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],"[VTYPE, VL]",None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtV],None,None,None,None,VMConstraint
VSADD_VX,vsadd.vx,4,"""vsadd.vx	$vd, $vs2, $rs1$vm""",None,?,R,v,{is_split=False;name=funct6;value=100001;bit_range=31-26;is_op=False;len=6},{is_split=False;name=vm;value=NULL;bit_range=25-25;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VMaskOp;class_name_mips=NULL;len=1},{is_split=False;name=vs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=opv;value=100;bit_range=14-12;is_op=False;len=3},{is_split=False;name=vd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opcode;value= 1010111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,None,None,None,None,"(ins VR:$vs2, GPR:$rs1, VMaskOp:$vm)",(outs VR:$vd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],"[VTYPE, VL]",None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtV],None,None,None,None,VMConstraint
VSADD_VI,vsadd.vi,4,"""vsadd.vi	$vd, $vs2, $imm$vm""",None,?,R,v,{is_split=False;name=funct6;value=100001;bit_range=31-26;is_op=False;len=6},{is_split=False;name=vm;value=NULL;bit_range=25-25;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VMaskOp;class_name_mips=NULL;len=1},{is_split=False;name=vs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=imm;value=NULL;bit_range=19-15;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=simm5;len=5},{is_split=False;name=NULL;value=011;bit_range=14-12;is_op=False;len=3},{is_split=False;name=vd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opcode;value= 1010111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,None,None,None,None,"(ins VR:$vs2, simm5:$imm, VMaskOp:$vm)",(outs VR:$vd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],"[VTYPE, VL]",None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtV],None,None,None,None,VMConstraint
VSADDU_VV,vsaddu.vv,4,"""vsaddu.vv	$vd, $vs2, $vs1$vm""",None,?,R,v,{is_split=False;name=funct6;value=100000;bit_range=31-26;is_op=False;len=6},{is_split=False;name=vm;value=NULL;bit_range=25-25;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VMaskOp;class_name_mips=NULL;len=1},{is_split=False;name=vs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=vs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opv;value=000;bit_range=14-12;is_op=False;len=3},{is_split=False;name=vd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opcode;value= 1010111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,None,None,None,None,"(ins VR:$vs2, VR:$vs1, VMaskOp:$vm)",(outs VR:$vd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],"[VTYPE, VL]",None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtV],None,None,None,None,VMConstraint
VAADDU_VV,vaaddu.vv,4,"""vaaddu.vv	$vd, $vs2, $vs1$vm""",None,?,R,v,{is_split=False;name=funct6;value=001000;bit_range=31-26;is_op=False;len=6},{is_split=False;name=vm;value=NULL;bit_range=25-25;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VMaskOp;class_name_mips=NULL;len=1},{is_split=False;name=vs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=vs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opv;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=vd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=VR;class_name_mips=NULL;len=5},{is_split=False;name=opcode;value= 1010111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,None,None,None,None,"(ins VR:$vs2, VR:$vs1, VMaskOp:$vm)",(outs VR:$vd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],"[VTYPE, VL]",None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtV],None,None,None,None,VMConstraint
