rname_upper,rname,Size,AsmString,isBarrier,Arch,Format,Set,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,TwoOperandAliasConstraint,canFoldAsLoad,isCompare,Namespace,mayLoad,Sched,hasPostISelHook,AddedComplexity,isReMaterializable,InOperandList,OutOperandList,Itinerary,hasSideEffects,isIndirectBranch,isCodeGenOnly,DisableEncoding,mayStore,isCall,isTerminator,isBranch,isAsCheapAsAMove,isReturn,Constraints,isCommutable,hasDelaySlot,Defs,Uses,DecoderMethod,DecoderNamespace,Pattern,isMoveReg,AdditionalPredicates,GPRPredicates,InsnPredicates,EncodingPredicates,ASEPredicate,FGRPredicates,HardFloatPredicate,PTRPredicates,Predicates,SoftFail,hasNoSchedulingInfo,AsmMatchConverter,usesCustomInserter
AMOADD_W,amoadd.w,4,"""amoadd.w	$rd, $rs2, $rs1""",None,?,R,a,{is_split=False;name=funct5;value=00000;bit_range=31-27;is_op=False;len=5},{is_split=False;name=aq;value=0;bit_range=26-26;is_op=False;len=1},{is_split=False;name=rl;value=0;bit_range=25-25;is_op=False;len=1},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPRMemAtomic;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0101111;bit_range=6-0;is_op=False;len=7},None,None,None,None,"""RISCV""",1,"[WriteAtomicW, ReadAtomicWA, ReadAtomicWD]",None,None,None,"(ins GPRMemAtomic:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtA],None,None,None,None
AMOADD_W_AQ,amoadd.w.aq,4,"""amoadd.w.aq	$rd, $rs2, $rs1""",None,?,R,a,{is_split=False;name=funct5;value=00000;bit_range=31-27;is_op=False;len=5},{is_split=False;name=aq;value=1;bit_range=26-26;is_op=False;len=1},{is_split=False;name=rl;value=0;bit_range=25-25;is_op=False;len=1},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPRMemAtomic;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0101111;bit_range=6-0;is_op=False;len=7},None,None,None,None,"""RISCV""",1,"[WriteAtomicW, ReadAtomicWA, ReadAtomicWD]",None,None,None,"(ins GPRMemAtomic:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtA],None,None,None,None
AMOADD_W_RL,amoadd.w.rl,4,"""amoadd.w.rl	$rd, $rs2, $rs1""",None,?,R,a,{is_split=False;name=funct5;value=00000;bit_range=31-27;is_op=False;len=5},{is_split=False;name=aq;value=0;bit_range=26-26;is_op=False;len=1},{is_split=False;name=rl;value=1;bit_range=25-25;is_op=False;len=1},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPRMemAtomic;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0101111;bit_range=6-0;is_op=False;len=7},None,None,None,None,"""RISCV""",1,"[WriteAtomicW, ReadAtomicWA, ReadAtomicWD]",None,None,None,"(ins GPRMemAtomic:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtA],None,None,None,None
AMOADD_W_AQ_RL,amoadd.w.aqrl,4,"""amoadd.w.aqrl	$rd, $rs2, $rs1""",None,?,R,a,{is_split=False;name=funct5;value=00000;bit_range=31-27;is_op=False;len=5},{is_split=False;name=aq;value=1;bit_range=26-26;is_op=False;len=1},{is_split=False;name=rl;value=1;bit_range=25-25;is_op=False;len=1},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPRMemAtomic;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0101111;bit_range=6-0;is_op=False;len=7},None,None,None,None,"""RISCV""",1,"[WriteAtomicW, ReadAtomicWA, ReadAtomicWD]",None,None,None,"(ins GPRMemAtomic:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtA],None,None,None,None
AMOAND_W,amoand.w,4,"""amoand.w	$rd, $rs2, $rs1""",None,?,R,a,{is_split=False;name=funct5;value=01100;bit_range=31-27;is_op=False;len=5},{is_split=False;name=aq;value=0;bit_range=26-26;is_op=False;len=1},{is_split=False;name=rl;value=0;bit_range=25-25;is_op=False;len=1},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPRMemAtomic;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0101111;bit_range=6-0;is_op=False;len=7},None,None,None,None,"""RISCV""",1,"[WriteAtomicW, ReadAtomicWA, ReadAtomicWD]",None,None,None,"(ins GPRMemAtomic:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtA],None,None,None,None
AMOAND_W_AQ,amoand.w.aq,4,"""amoand.w.aq	$rd, $rs2, $rs1""",None,?,R,a,{is_split=False;name=funct5;value=01100;bit_range=31-27;is_op=False;len=5},{is_split=False;name=aq;value=1;bit_range=26-26;is_op=False;len=1},{is_split=False;name=rl;value=0;bit_range=25-25;is_op=False;len=1},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPRMemAtomic;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0101111;bit_range=6-0;is_op=False;len=7},None,None,None,None,"""RISCV""",1,"[WriteAtomicW, ReadAtomicWA, ReadAtomicWD]",None,None,None,"(ins GPRMemAtomic:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtA],None,None,None,None
AMOAND_W_RL,amoand.w.rl,4,"""amoand.w.rl	$rd, $rs2, $rs1""",None,?,R,a,{is_split=False;name=funct5;value=01100;bit_range=31-27;is_op=False;len=5},{is_split=False;name=aq;value=0;bit_range=26-26;is_op=False;len=1},{is_split=False;name=rl;value=1;bit_range=25-25;is_op=False;len=1},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPRMemAtomic;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0101111;bit_range=6-0;is_op=False;len=7},None,None,None,None,"""RISCV""",1,"[WriteAtomicW, ReadAtomicWA, ReadAtomicWD]",None,None,None,"(ins GPRMemAtomic:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtA],None,None,None,None
AMOAND_W_AQ_RL,amoand.w.aqrl,4,"""amoand.w.aqrl	$rd, $rs2, $rs1""",None,?,R,a,{is_split=False;name=funct5;value=01100;bit_range=31-27;is_op=False;len=5},{is_split=False;name=aq;value=1;bit_range=26-26;is_op=False;len=1},{is_split=False;name=rl;value=1;bit_range=25-25;is_op=False;len=1},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPRMemAtomic;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0101111;bit_range=6-0;is_op=False;len=7},None,None,None,None,"""RISCV""",1,"[WriteAtomicW, ReadAtomicWA, ReadAtomicWD]",None,None,None,"(ins GPRMemAtomic:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtA],None,None,None,None
AMOMAX_W,amomax.w,4,"""amomax.w	$rd, $rs2, $rs1""",None,?,R,a,{is_split=False;name=funct5;value=10100;bit_range=31-27;is_op=False;len=5},{is_split=False;name=aq;value=0;bit_range=26-26;is_op=False;len=1},{is_split=False;name=rl;value=0;bit_range=25-25;is_op=False;len=1},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPRMemAtomic;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0101111;bit_range=6-0;is_op=False;len=7},None,None,None,None,"""RISCV""",1,"[WriteAtomicW, ReadAtomicWA, ReadAtomicWD]",None,None,None,"(ins GPRMemAtomic:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtA],None,None,None,None
AMOMAX_W_AQ,amomax.w.aq,4,"""amomax.w.aq	$rd, $rs2, $rs1""",None,?,R,a,{is_split=False;name=funct5;value=10100;bit_range=31-27;is_op=False;len=5},{is_split=False;name=aq;value=1;bit_range=26-26;is_op=False;len=1},{is_split=False;name=rl;value=0;bit_range=25-25;is_op=False;len=1},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPRMemAtomic;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=0101111;bit_range=6-0;is_op=False;len=7},None,None,None,None,"""RISCV""",1,"[WriteAtomicW, ReadAtomicWA, ReadAtomicWD]",None,None,None,"(ins GPRMemAtomic:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtA],None,None,None,None
