rname_upper,rname,Size,AsmString,isBarrier,Arch,Format,Set,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,TwoOperandAliasConstraint,canFoldAsLoad,isCompare,Namespace,mayLoad,Sched,hasPostISelHook,AddedComplexity,isReMaterializable,InOperandList,OutOperandList,Itinerary,hasSideEffects,isIndirectBranch,isCodeGenOnly,DisableEncoding,mayStore,isCall,isTerminator,isBranch,isAsCheapAsAMove,isReturn,Constraints,isCommutable,hasDelaySlot,Defs,Uses,DecoderMethod,DecoderNamespace,Pattern,isMoveReg,AdditionalPredicates,GPRPredicates,InsnPredicates,EncodingPredicates,ASEPredicate,FGRPredicates,HardFloatPredicate,PTRPredicates,Predicates,SoftFail,hasNoSchedulingInfo,AsmMatchConverter,usesCustomInserter
ANDN,andn,4,"""andn	$rd, $rs1, $rs2""",None,?,R,B,{is_split=False;name=funct7;value=0100000;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=111;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=0110011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZbbOrZbp],None,None,None,None
BCLR,bclr,4,"""bclr	$rd, $rs1, $rs2""",None,?,R,B,{is_split=False;name=funct7;value=0100100;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=0110011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZbs],None,None,None,None
BCLRI,bclri,4,"""bclri	$rd, $rs1, $shamt""",None,?,I,B,{is_split=False;name=funct5;value=01001;bit_range=31-27;is_op=False;len=5},{is_split=False;name=NULL;value=0;bit_range=26-26;is_op=False;len=1},{is_split=False;name=shamt;value=NULL;bit_range=25-20;is_op=True;op_type=Imm;is_signed=False;is_special=False;LSB=0;NoZero=False;class_name_riscv=uimmlog2xlen;len=6},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=0010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, uimmlog2xlen:$shamt)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZbs],None,None,None,None
BCLRIW,bclriw,4,"""bclriw	$rd, $rs1, $shamt""",None,?,I,B,{is_split=False;name=funct7;value=0100100;bit_range=31-25;is_op=False;len=7},{is_split=False;name=shamt;value=NULL;bit_range=24-20;is_op=True;op_type=Imm;is_signed=False;is_special=False;LSB=0;NoZero=False;class_name_riscv=uimm5;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=0011011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, uimm5:$shamt)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,"[HasStdExtZbs, IsRV64]",None,None,None,None
BCLRW,bclrw,4,"""bclrw	$rd, $rs1, $rs2""",None,?,R,B,{is_split=False;name=funct7;value=0100100;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=0111011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,"[HasStdExtZbs, IsRV64]",None,None,None,None
BEXT,bext,4,"""bext	$rd, $rs1, $rs2""",None,?,R,B,{is_split=False;name=funct7;value=0100100;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=101;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=0110011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZbs],None,None,None,None
BEXTI,bexti,4,"""bexti	$rd, $rs1, $shamt""",None,?,I,B,{is_split=False;name=funct5;value=01001;bit_range=31-27;is_op=False;len=5},{is_split=False;name=NULL;value=0;bit_range=26-26;is_op=False;len=1},{is_split=False;name=shamt;value=NULL;bit_range=25-20;is_op=True;op_type=Imm;is_signed=False;is_special=False;LSB=0;NoZero=False;class_name_riscv=uimmlog2xlen;len=6},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=101;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=0010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, uimmlog2xlen:$shamt)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZbs],None,None,None,None
BFP,bfp,4,"""bfp	$rd, $rs1, $rs2""",None,?,R,B,{is_split=False;name=funct7;value=0100100;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=111;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=0110011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZbf],None,None,None,None
BINV,binv,4,"""binv	$rd, $rs1, $rs2""",None,?,R,B,{is_split=False;name=funct7;value=0110100;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=0110011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, GPR:$rs2)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZbs],None,None,None,None
BINVI,binvi,4,"""binvi	$rd, $rs1, $shamt""",None,?,I,B,{is_split=False;name=funct5;value=01101;bit_range=31-27;is_op=False;len=5},{is_split=False;name=NULL;value=0;bit_range=26-26;is_op=False;len=1},{is_split=False;name=shamt;value=NULL;bit_range=25-20;is_op=True;op_type=Imm;is_signed=False;is_special=False;LSB=0;NoZero=False;class_name_riscv=uimmlog2xlen;len=6},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=0010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins GPR:$rs1, uimmlog2xlen:$shamt)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZbs],None,None,None,None
