rname_upper,rname,Size,AsmString,isBarrier,Arch,Format,Set,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,TwoOperandAliasConstraint,canFoldAsLoad,isCompare,Namespace,mayLoad,Sched,hasPostISelHook,AddedComplexity,isReMaterializable,InOperandList,OutOperandList,Itinerary,hasSideEffects,isIndirectBranch,isCodeGenOnly,DisableEncoding,mayStore,isCall,isTerminator,isBranch,isAsCheapAsAMove,isReturn,Constraints,isCommutable,hasDelaySlot,Defs,Uses,DecoderMethod,DecoderNamespace,Pattern,isMoveReg,AdditionalPredicates,GPRPredicates,InsnPredicates,EncodingPredicates,ASEPredicate,FGRPredicates,HardFloatPredicate,PTRPredicates,Predicates,SoftFail,hasNoSchedulingInfo,AsmMatchConverter,usesCustomInserter
FLW,flw,4,"""flw	$rd, ${imm12}(${rs1})""",None,?,I,f,{is_split=False;name=imm12;value=NULL;bit_range=31-20;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=simm12;len=12},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=opcode;value=0000111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",1,"[WriteFLD32, ReadFMemBase]",None,None,None,"(ins GPR:$rs1, simm12:$imm12)",(outs FPR32:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtF],None,None,None,None
FADD_S,fadd.s,4,"""fadd.s	$rd, $rs1, $rs2, $funct3""",None,?,R,f,{is_split=False;name=funct7;value=0000000;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFALU32, ReadFALU32, ReadFALU32]",None,None,None,"(ins FPR32:$rs1, FPR32:$rs2, frmarg:$funct3)",(outs FPR32:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtF],None,None,None,None
FCLASS_S,fclass.s,4,"""fclass.s	$rd, $rs1""",None,?,R,f,{is_split=False;name=funct7;value=1110000;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=fpr64;class_name_mips=fgr64;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFClass32, ReadFClass32]",None,None,None,(ins FPR32:$rs1),(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtF],None,None,None,None
FCVT_S_W,fcvt.s.w,4,"""fcvt.s.w	$rd, $rs1, $funct3""",None,?,R,f,{is_split=False;name=funct7;value=1101000;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtI32ToF32, ReadFCvtI32ToF32]",None,None,None,"(ins GPR:$rs1, frmarg:$funct3)",(outs FPR32:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtF],None,None,None,None
FCVT_S_WU,fcvt.s.wu,4,"""fcvt.s.wu	$rd, $rs1, $funct3""",None,?,R,f,{is_split=False;name=funct7;value=1101000;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00001;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtI32ToF32, ReadFCvtI32ToF32]",None,None,None,"(ins GPR:$rs1, frmarg:$funct3)",(outs FPR32:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtF],None,None,None,None
FCVT_W_S,fcvt.w.s,4,"""fcvt.w.s	$rd, $rs1, $funct3""",None,?,R,f,{is_split=False;name=funct7;value=1100000;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtF32ToI32, ReadFCvtF32ToI32]",None,None,None,"(ins FPR32:$rs1, frmarg:$funct3)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtF],None,None,None,None
FCVT_WU_S,fcvt.wu.s,4,"""fcvt.wu.s	$rd, $rs1, $funct3""",None,?,R,f,{is_split=False;name=funct7;value=1100000;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00001;bit_range=24-20;is_op=False;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCvtF32ToI32, ReadFCvtF32ToI32]",None,None,None,"(ins FPR32:$rs1, frmarg:$funct3)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtF],None,None,None,None
FDIV_S,fdiv.s,4,"""fdiv.s	$rd, $rs1, $rs2, $funct3""",None,?,R,f,{is_split=False;name=funct7;value=0001100;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=False;is_special=True;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFDiv32, ReadFDiv32, ReadFDiv32]",None,None,None,"(ins FPR32:$rs1, FPR32:$rs2, frmarg:$funct3)",(outs FPR32:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtF],None,None,None,None
FEQ_S,feq.s,4,"""feq.s	$rd, $rs1, $rs2""",None,?,R,f,{is_split=False;name=funct7;value=1010000;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=funct3;value=010;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCmp32, ReadFCmp32, ReadFCmp32]",None,None,None,"(ins FPR32:$rs1, FPR32:$rs2)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtF],None,None,None,None
FLE_S,fle.s,4,"""fle.s	$rd, $rs1, $rs2""",None,?,R,f,{is_split=False;name=funct7;value=1010000;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=FLOAT;ILLEGAL=NULL;class_name_riscv=fpr32;class_name_mips=fgr32;len=5},{is_split=False;name=funct3;value=000;bit_range=14-12;is_op=False;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=gpr;class_name_mips=gpr32;len=5},{is_split=False;name=opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,"[WriteFCmp32, ReadFCmp32, ReadFCmp32]",None,None,None,"(ins FPR32:$rs1, FPR32:$rs2)",(outs GPR:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtF],None,None,None,None
