rname_upper,rname,Size,AsmString,isBarrier,Arch,Format,Set,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,TwoOperandAliasConstraint,canFoldAsLoad,isCompare,Namespace,mayLoad,Sched,hasPostISelHook,AddedComplexity,isReMaterializable,InOperandList,OutOperandList,Itinerary,hasSideEffects,isIndirectBranch,isCodeGenOnly,DisableEncoding,mayStore,isCall,isTerminator,isBranch,isAsCheapAsAMove,isReturn,Constraints,isCommutable,hasDelaySlot,Defs,Uses,DecoderMethod,DecoderNamespace,Pattern,isMoveReg,AdditionalPredicates,GPRPredicates,InsnPredicates,EncodingPredicates,ASEPredicate,FGRPredicates,HardFloatPredicate,PTRPredicates,Predicates,SoftFail,hasNoSchedulingInfo,AsmMatchConverter,usesCustomInserter
FSH,fsh,4,"""fsh	$rs2, ${imm12}(${rs1})""",None,?,S,Zfh,{is_split=True;name=imm12;value=NULL;{frag_id=1#frag_range=11-5#bit_range=31-25};{frag_id=2#frag_range=4-0#bit_range=11-7};is_op=True;op_type=Imm;class_name_riscv=simm12;len=12},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=GPR;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=001;bit_range=14-12;is_op=False;len=3},{is_split=False;name=Opcode;value=0100111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs2, GPR:$rs1, simm12:$imm12)",(outs),None,0,None,None,None,1,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FMADD_H,fmadd.h,4,"""fmadd.h	$rd, $rs1, $rs2, $rs3, $funct3""",None,?,R4,Zfh,{is_split=False;name=rs3;value=NULL;bit_range=31-27;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct2;value=10;bit_range=26-25;is_op=False;len=2},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1000011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2, FPR16:$rs3, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FMSUB_H,fmsub.h,4,"""fmsub.h	$rd, $rs1, $rs2, $rs3, $funct3""",None,?,R4,Zfh,{is_split=False;name=rs3;value=NULL;bit_range=31-27;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct2;value=10;bit_range=26-25;is_op=False;len=2},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1000111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2, FPR16:$rs3, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FNMSUB_H,fnmsub.h,4,"""fnmsub.h	$rd, $rs1, $rs2, $rs3, $funct3""",None,?,R4,Zfh,{is_split=False;name=rs3;value=NULL;bit_range=31-27;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct2;value=10;bit_range=26-25;is_op=False;len=2},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1001011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2, FPR16:$rs3, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FNMADD_H,fnmadd.h,4,"""fnmadd.h	$rd, $rs1, $rs2, $rs3, $funct3""",None,?,R4,Zfh,{is_split=False;name=rs3;value=NULL;bit_range=31-27;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct2;value=10;bit_range=26-25;is_op=False;len=2},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1001111;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2, FPR16:$rs3, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FADD_H,fadd.h,4,"""fadd.h	$rd, $rs1, $rs2, $funct3""",None,?,R,Zfh,{is_split=False;name=funct7;value=0000010;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FSUB_H,fsub.h,4,"""fsub.h	$rd, $rs1, $rs2, $funct3""",None,?,R,Zfh,{is_split=False;name=funct7;value=0000110;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FMUL_H,fmul.h,4,"""fmul.h	$rd, $rs1, $rs2, $funct3""",None,?,R,Zfh,{is_split=False;name=funct7;value=0001010;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FDIV_H,fdiv.h,4,"""fdiv.h	$rd, $rs1, $rs2, $funct3""",None,?,R,Zfh,{is_split=False;name=funct7;value=0001110;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=NULL;bit_range=24-20;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, FPR16:$rs2, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
FSQRT_H,fsqrt.h,4,"""fsqrt.h	$rd, $rs1, $funct3""",None,?,R,Zfh,{is_split=False;name=funct7;value=0101110;bit_range=31-25;is_op=False;len=7},{is_split=False;name=rs2;value=00000;bit_range=24-20;is_op=False;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=rs1;value=NULL;bit_range=19-15;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=funct3;value=NULL;bit_range=14-12;is_op=True;op_type=Imm;is_signed=True;is_special=False;LSB=0;NoZero=False;class_name_riscv=frmarg;len=3},{is_split=False;name=rd;value=NULL;bit_range=11-7;is_op=True;op_type=Reg;Mode=INT;ILLEGAL=NULL;class_name_riscv=FPR16;class_name_mips=NULL;len=5},{is_split=False;name=Opcode;value=1010011;bit_range=6-0;is_op=False;len=7},None,None,None,None,None,None,"""RISCV""",0,[],None,None,None,"(ins FPR16:$rs1, frmarg:$funct3)",(outs FPR16:$rd),None,0,None,None,None,0,None,None,None,None,None,"""""",None,None,[],[],None,"""""",None,None,None,None,None,None,None,None,None,None,[HasStdExtZfh],None,None,None,None
